FIR_Number,Crime_Head,Applicable_Law,Section,MO_Description
FIR-953/2025-dfea,POCSO,BNS 2023,168,Groomed minor over social media
FIR-689/2025-7617,Cyber Crime,BNS 2023,250,Romance scam on dating app leading to crypto transfer
FIR-318/2026-1e6f,NDPS,BNS 2023,325,Caught selling marijuana packets near college in Khadebazar PS
FIR-573/2025-2414,Cyber Crime,BNS 2023,323,Sent phishing link offering fake loan
FIR-804/2026-1693,Murder,BNS 2023,291,Attacked with a sharp weapon at night near Tumakuru Town PS
FIR-824/2025-f178,Cheating,BNS 2023,368,Promised a job and took advance money in Hubballi Town PS
FIR-980/2026-d9c0,Cheating,BNS 2023,352,Promised a job and took advance money in Cubbon Park PS
FIR-181/2026-59bd,Theft,BNS 2023,294,Stole copper wires from a construction site in Khadebazar PS
FIR-990/2025-d349,Cheating,BNS 2023,351,Chit fund scam defrauding multiple investors in Khadebazar PS
FIR-989/2026-f1b8,Assault,BNS 2023,129,Physical altercation over property dispute in Kuvempunagar PS
FIR-371/2026-5057,Theft,BNS 2023,243,Stole copper wires from a construction site in Koramangala PS
FIR-641/2026-0dda,Robbery,BNS 2023,118,Snatched gold chain while victim was walking near Devaraja PS
FIR-891/2025-8e0a,Assault,BNS 2023,186,Group clash using sticks and stones in Belagavi Camp PS
FIR-569/2026-072b,Murder,BNS 2023,313,Attacked with a sharp weapon at night near Cubbon Park PS
FIR-268/2026-ffd6,POCSO,BNS 2023,336,Groomed minor over social media
FIR-812/2025-a40c,Theft,BNS 2023,386,Stole copper wires from a construction site in Tilakwadi PS
FIR-594/2026-8ef6,Assault,BNS 2023,163,Group clash using sticks and stones in Vidyanagar PS
FIR-146/2025-e3c8,Theft,BNS 2023,107,Stole parked two-wheeler from Tumakuru Town PS
FIR-284/2025-503d,Theft,BNS 2023,287,Stole parked two-wheeler from Vidyanagar PS
FIR-310/2026-1d47,Cyber Crime,BNS 2023,338,Romance scam on dating app leading to crypto transfer
FIR-822/2025-3196,Assault,BNS 2023,280,Physical altercation over property dispute in Indiranagar PS
FIR-381/2025-e573,POCSO,BNS 2023,259,Groomed minor over social media
FIR-443/2025-81d1,Theft,BNS 2023,280,Stole copper wires from a construction site in Kuvempunagar PS
FIR-455/2026-2b7e,Murder,BNS 2023,286,Attacked with a sharp weapon at night near Hubballi Town PS
FIR-228/2025-391a,Murder,BNS 2023,239,Attacked with a sharp weapon at night near Khadebazar PS
FIR-486/2026-6b09,POCSO,BNS 2023,236,Groomed minor over social media
FIR-401/2025-7a68,Robbery,BNS 2023,283,Snatched gold chain while victim was walking near Khadebazar PS
FIR-247/2025-d3e0,POCSO,BNS 2023,149,Groomed minor over social media
FIR-571/2026-2d46,Theft,BNS 2023,112,Stole copper wires from a construction site in Hubballi Town PS
FIR-364/2026-719e,Murder,BNS 2023,220,Attacked with a sharp weapon at night near Kyathasandra PS
FIR-706/2026-b6de,Cyber Crime,BNS 2023,128,Tricked victim into sharing OTP over phone call
FIR-298/2025-1bcc,Robbery,BNS 2023,125,Broke into house and stole valuables in Malleswaram PS
FIR-523/2026-fc54,Cheating,BNS 2023,309,Promised a job and took advance money in Belagavi Camp PS
FIR-855/2025-47f1,Cyber Crime,BNS 2023,195,Sent phishing link offering fake loan
FIR-304/2026-1938,Assault,BNS 2023,299,Physical altercation over property dispute in Tumakuru Town PS
FIR-515/2026-ce74,Assault,BNS 2023,308,Group clash using sticks and stones in Vidyanagar PS
FIR-836/2025-2332,Cyber Crime,BNS 2023,300,Romance scam on dating app leading to crypto transfer
FIR-920/2025-164c,Cheating,BNS 2023,220,Sold fake property documents to victim in Saraswathipuram PS
FIR-387/2025-797f,Cheating,BNS 2023,246,Sold fake property documents to victim in Vidyanagar PS
FIR-574/2026-d025,Cyber Crime,BNS 2023,165,Tricked victim into sharing OTP over phone call
FIR-777/2026-d365,POCSO,BNS 2023,391,Assaulted minor on the way to school near Tilakwadi PS
FIR-514/2025-b993,Cyber Crime,BNS 2023,296,Romance scam on dating app leading to crypto transfer
FIR-412/2026-452e,Cheating,BNS 2023,106,Promised a job and took advance money in Kuvempunagar PS
FIR-126/2025-5f66,Cyber Crime,BNS 2023,324,Romance scam on dating app leading to crypto transfer
FIR-109/2026-8104,Assault,BNS 2023,308,Group clash using sticks and stones in Kyathasandra PS
FIR-154/2026-5fca,Assault,BNS 2023,137,Group clash using sticks and stones in Tilakwadi PS
FIR-170/2025-9438,Theft,BNS 2023,187,Stole parked two-wheeler from Devaraja PS
FIR-803/2026-a6b3,Cheating,BNS 2023,383,Sold fake property documents to victim in Vidyanagar PS
FIR-996/2025-7d0d,Robbery,BNS 2023,252,Broke into house and stole valuables in Kuvempunagar PS
FIR-411/2026-6544,Murder,BNS 2023,253,Stabbed after a drunken brawl in Saraswathipuram PS
FIR-354/2025-e5c9,Murder,BNS 2023,300,Attacked with a sharp weapon at night near Belagavi Camp PS
FIR-112/2025-1d87,Robbery,BNS 2023,154,Threatened with a knife and stole wallet at Malleswaram PS
FIR-180/2025-9800,Assault,BNS 2023,276,Physical altercation over property dispute in Tumakuru Town PS
FIR-164/2026-a73f,Robbery,BNS 2023,324,Snatched gold chain while victim was walking near Malleswaram PS
FIR-461/2026-7cd7,NDPS,BNS 2023,229,Smuggling synthetic drugs in a hidden compartment near Tumakuru Town PS
FIR-407/2026-91f3,Theft,BNS 2023,268,Stole parked two-wheeler from Cubbon Park PS
FIR-120/2026-3141,Cyber Crime,BNS 2023,350,Sent phishing link offering fake loan
FIR-142/2026-445d,Cheating,BNS 2023,144,Chit fund scam defrauding multiple investors in Tilakwadi PS
FIR-636/2025-4514,Robbery,BNS 2023,270,Snatched gold chain while victim was walking near Malleswaram PS
FIR-574/2026-d519,Theft,BNS 2023,134,Stole parked two-wheeler from Kyathasandra PS
FIR-559/2025-54a6,Cheating,BNS 2023,280,Sold fake property documents to victim in Khadebazar PS
FIR-297/2026-c16a,Assault,BNS 2023,194,Group clash using sticks and stones in Kyathasandra PS
FIR-912/2025-4a22,Cyber Crime,BNS 2023,241,Tricked victim into sharing OTP over phone call
FIR-708/2026-43a7,NDPS,BNS 2023,253,Found possessing cocaine at a rave party in Tilakwadi PS
FIR-719/2026-11f7,Robbery,BNS 2023,334,Threatened with a knife and stole wallet at Malleswaram PS
FIR-963/2026-779b,Cheating,BNS 2023,114,Sold fake property documents to victim in Cubbon Park PS
FIR-955/2025-e7aa,Assault,BNS 2023,209,Road rage incident leading to severe injuries near Cubbon Park PS
FIR-831/2026-220d,POCSO,BNS 2023,360,Assaulted minor on the way to school near Belagavi Camp PS
FIR-987/2025-cc50,POCSO,BNS 2023,111,Assaulted minor on the way to school near Dharwad Suburban PS
FIR-269/2026-c6a1,Assault,BNS 2023,150,Road rage incident leading to severe injuries near Cubbon Park PS
FIR-754/2026-7c81,Cyber Crime,BNS 2023,286,Romance scam on dating app leading to crypto transfer
FIR-365/2025-9424,Murder,BNS 2023,203,Stabbed after a drunken brawl in Vidyanagar PS
FIR-907/2025-82c8,Murder,BNS 2023,374,Poisoned during a family dispute at Khadebazar PS
FIR-791/2025-4e71,POCSO,BNS 2023,218,Groomed minor over social media
FIR-750/2026-9b81,POCSO,BNS 2023,301,Assaulted minor on the way to school near Hubballi Town PS
FIR-308/2026-2547,Theft,BNS 2023,392,Stole parked two-wheeler from Dharwad Suburban PS
FIR-350/2025-62cf,POCSO,BNS 2023,347,Groomed minor over social media
FIR-447/2026-a1ba,Cyber Crime,BNS 2023,118,Tricked victim into sharing OTP over phone call
FIR-167/2025-9d8f,POCSO,BNS 2023,347,Harassed minor in the neighborhood of Belagavi Camp PS
FIR-561/2025-cbe4,Cheating,BNS 2023,197,Chit fund scam defrauding multiple investors in Dharwad Suburban PS
FIR-445/2026-6b15,NDPS,BNS 2023,275,Found possessing cocaine at a rave party in Indiranagar PS
FIR-498/2025-17a8,Cheating,BNS 2023,109,Sold fake property documents to victim in Indiranagar PS
FIR-596/2025-85f7,Robbery,BNS 2023,280,Threatened with a knife and stole wallet at Vidyanagar PS
FIR-714/2025-ff56,Cheating,BNS 2023,127,Chit fund scam defrauding multiple investors in Dharwad Suburban PS
FIR-808/2026-bd22,Murder,BNS 2023,314,Poisoned during a family dispute at Belagavi Camp PS
FIR-937/2025-6047,Cyber Crime,BNS 2023,201,Romance scam on dating app leading to crypto transfer
FIR-683/2025-d4f7,Assault,BNS 2023,138,Physical altercation over property dispute in Vidyanagar PS
FIR-745/2026-3828,Murder,BNS 2023,116,Attacked with a sharp weapon at night near Khadebazar PS
FIR-885/2025-f409,NDPS,BNS 2023,385,Smuggling synthetic drugs in a hidden compartment near Tumakuru Town PS
FIR-673/2026-db0f,Theft,BNS 2023,191,Stole parked two-wheeler from Kuvempunagar PS
FIR-400/2026-92d6,Assault,BNS 2023,134,Group clash using sticks and stones in Tumakuru Town PS
FIR-795/2025-1109,Murder,BNS 2023,397,Attacked with a sharp weapon at night near Tilakwadi PS
FIR-977/2026-638f,POCSO,BNS 2023,338,Assaulted minor on the way to school near Indiranagar PS
FIR-693/2025-e0d7,Theft,BNS 2023,369,Stole parked two-wheeler from Dharwad Suburban PS
FIR-770/2026-4707,POCSO,BNS 2023,164,Harassed minor in the neighborhood of Koramangala PS
FIR-959/2026-9c50,Murder,BNS 2023,202,Stabbed after a drunken brawl in Indiranagar PS
FIR-561/2026-06d7,NDPS,BNS 2023,152,Found possessing cocaine at a rave party in Dharwad Suburban PS
FIR-244/2026-44b3,Assault,BNS 2023,102,Physical altercation over property dispute in Kuvempunagar PS
FIR-314/2026-3577,Theft,BNS 2023,222,Stole parked two-wheeler from Malleswaram PS
FIR-212/2026-7a19,POCSO,BNS 2023,221,Harassed minor in the neighborhood of Tilakwadi PS
FIR-198/2026-5742,POCSO,BNS 2023,214,Harassed minor in the neighborhood of Tumakuru Town PS
FIR-260/2025-bc02,POCSO,BNS 2023,242,Harassed minor in the neighborhood of Malleswaram PS
FIR-369/2026-7030,Robbery,BNS 2023,306,Snatched gold chain while victim was walking near Malleswaram PS
FIR-779/2026-3dd0,POCSO,BNS 2023,107,Assaulted minor on the way to school near Devaraja PS
FIR-940/2025-2ec5,Murder,BNS 2023,129,Stabbed after a drunken brawl in Saraswathipuram PS
FIR-942/2026-bad5,Assault,BNS 2023,263,Physical altercation over property dispute in Devaraja PS
FIR-545/2026-d77e,Assault,BNS 2023,348,Group clash using sticks and stones in Kuvempunagar PS
FIR-458/2025-7ef8,Murder,BNS 2023,298,Attacked with a sharp weapon at night near Koramangala PS
FIR-481/2025-d11f,Cyber Crime,BNS 2023,229,Tricked victim into sharing OTP over phone call
FIR-476/2025-0e75,POCSO,BNS 2023,226,Groomed minor over social media
FIR-429/2025-8101,Cyber Crime,BNS 2023,315,Sent phishing link offering fake loan
FIR-403/2026-c8af,POCSO,BNS 2023,379,Assaulted minor on the way to school near Tumakuru Town PS
FIR-384/2026-beba,Theft,BNS 2023,210,Stole parked two-wheeler from Tilakwadi PS
FIR-764/2026-a223,Theft,BNS 2023,371,Stole copper wires from a construction site in Cubbon Park PS
FIR-920/2025-4f70,Cheating,BNS 2023,282,Chit fund scam defrauding multiple investors in Kuvempunagar PS
FIR-105/2025-583c,Cheating,BNS 2023,291,Chit fund scam defrauding multiple investors in Koramangala PS
FIR-577/2026-0437,Cheating,BNS 2023,212,Chit fund scam defrauding multiple investors in Kyathasandra PS
FIR-932/2026-1f03,Assault,BNS 2023,220,Physical altercation over property dispute in Tumakuru Town PS
FIR-960/2025-0558,Theft,BNS 2023,174,Stole copper wires from a construction site in Saraswathipuram PS
FIR-601/2026-65df,Assault,BNS 2023,329,Group clash using sticks and stones in Hubballi Town PS
FIR-464/2025-ed5d,NDPS,BNS 2023,390,Caught selling marijuana packets near college in Belagavi Camp PS
FIR-717/2026-f93f,Theft,BNS 2023,208,Pickpocketed mobile phone at a crowded market in Dharwad Suburban PS
FIR-467/2026-2778,Cyber Crime,BNS 2023,331,Romance scam on dating app leading to crypto transfer
FIR-248/2026-e0de,Cheating,BNS 2023,355,Chit fund scam defrauding multiple investors in Vidyanagar PS
FIR-563/2026-fdbf,Cheating,BNS 2023,231,Sold fake property documents to victim in Kyathasandra PS
FIR-337/2026-8611,Robbery,BNS 2023,321,Broke into house and stole valuables in Tumakuru Town PS
FIR-142/2025-8d13,Cheating,BNS 2023,165,Sold fake property documents to victim in Vidyanagar PS
FIR-272/2026-2fbe,Assault,BNS 2023,229,Physical altercation over property dispute in Vidyanagar PS
FIR-172/2025-8e6d,Robbery,BNS 2023,262,Threatened with a knife and stole wallet at Tumakuru Town PS
FIR-203/2025-8ce4,Robbery,BNS 2023,225,Threatened with a knife and stole wallet at Kyathasandra PS
FIR-610/2026-0c8b,Murder,BNS 2023,193,Attacked with a sharp weapon at night near Devaraja PS
FIR-258/2026-9024,Cheating,BNS 2023,377,Chit fund scam defrauding multiple investors in Dharwad Suburban PS
FIR-495/2026-730f,NDPS,BNS 2023,321,Caught selling marijuana packets near college in Dharwad Suburban PS
FIR-941/2026-fafd,Murder,BNS 2023,142,Stabbed after a drunken brawl in Vidyanagar PS
FIR-901/2025-8a5e,Murder,BNS 2023,234,Poisoned during a family dispute at Tilakwadi PS
FIR-850/2025-8c1d,NDPS,BNS 2023,389,Smuggling synthetic drugs in a hidden compartment near Koramangala PS
FIR-371/2026-e398,Murder,BNS 2023,321,Poisoned during a family dispute at Belagavi Camp PS
FIR-382/2025-2800,Robbery,BNS 2023,243,Threatened with a knife and stole wallet at Vidyanagar PS
FIR-465/2025-20a1,Murder,BNS 2023,357,Attacked with a sharp weapon at night near Tumakuru Town PS
FIR-517/2025-c012,Robbery,BNS 2023,383,Threatened with a knife and stole wallet at Vidyanagar PS
FIR-839/2026-e99e,Cyber Crime,BNS 2023,180,Tricked victim into sharing OTP over phone call
FIR-917/2025-3f58,Assault,BNS 2023,348,Road rage incident leading to severe injuries near Belagavi Camp PS
FIR-624/2026-5b45,NDPS,BNS 2023,375,Found possessing cocaine at a rave party in Kyathasandra PS
FIR-367/2026-b837,NDPS,BNS 2023,142,Found possessing cocaine at a rave party in Devaraja PS
FIR-313/2025-ce40,Cheating,BNS 2023,139,Promised a job and took advance money in Saraswathipuram PS
FIR-455/2025-3c66,NDPS,BNS 2023,123,Found possessing cocaine at a rave party in Kyathasandra PS
FIR-346/2025-9008,Cyber Crime,BNS 2023,299,Sent phishing link offering fake loan
FIR-157/2026-3b6b,Cheating,BNS 2023,175,Promised a job and took advance money in Dharwad Suburban PS
FIR-437/2025-14ec,Assault,BNS 2023,108,Road rage incident leading to severe injuries near Vidyanagar PS
FIR-932/2026-c84a,POCSO,BNS 2023,245,Harassed minor in the neighborhood of Hubballi Town PS
FIR-321/2025-4516,Murder,BNS 2023,128,Attacked with a sharp weapon at night near Devaraja PS
FIR-658/2025-2468,Cheating,BNS 2023,392,Promised a job and took advance money in Kyathasandra PS
FIR-661/2026-d679,Murder,BNS 2023,389,Poisoned during a family dispute at Tilakwadi PS
FIR-348/2025-91e9,Robbery,BNS 2023,298,Threatened with a knife and stole wallet at Tumakuru Town PS
FIR-345/2025-32c7,NDPS,BNS 2023,175,Found possessing cocaine at a rave party in Khadebazar PS
FIR-211/2025-80c4,Robbery,BNS 2023,317,Threatened with a knife and stole wallet at Dharwad Suburban PS
FIR-942/2025-8a06,Cyber Crime,BNS 2023,341,Sent phishing link offering fake loan
FIR-532/2026-da6f,Cyber Crime,BNS 2023,157,Romance scam on dating app leading to crypto transfer
FIR-329/2026-59a1,Cyber Crime,BNS 2023,143,Sent phishing link offering fake loan
FIR-527/2025-c264,Murder,BNS 2023,139,Stabbed after a drunken brawl in Khadebazar PS
FIR-683/2026-698d,Murder,BNS 2023,323,Poisoned during a family dispute at Cubbon Park PS
FIR-811/2026-bf29,Cheating,BNS 2023,359,Promised a job and took advance money in Hubballi Town PS
FIR-840/2025-0fe6,POCSO,BNS 2023,283,Assaulted minor on the way to school near Khadebazar PS
FIR-143/2026-e1cd,Cyber Crime,BNS 2023,182,Tricked victim into sharing OTP over phone call
FIR-584/2025-8ecf,Theft,BNS 2023,106,Pickpocketed mobile phone at a crowded market in Belagavi Camp PS
FIR-391/2026-2b84,Theft,BNS 2023,184,Stole copper wires from a construction site in Kuvempunagar PS
FIR-411/2025-37eb,Cheating,BNS 2023,362,Chit fund scam defrauding multiple investors in Devaraja PS
FIR-676/2026-d312,Theft,BNS 2023,232,Stole copper wires from a construction site in Kyathasandra PS
FIR-908/2025-3516,Theft,BNS 2023,133,Pickpocketed mobile phone at a crowded market in Saraswathipuram PS
FIR-618/2025-a2d0,Murder,BNS 2023,125,Poisoned during a family dispute at Belagavi Camp PS
FIR-872/2026-d85b,Cyber Crime,BNS 2023,310,Tricked victim into sharing OTP over phone call
FIR-441/2026-d7ff,Cyber Crime,BNS 2023,287,Tricked victim into sharing OTP over phone call
FIR-653/2026-ae83,NDPS,BNS 2023,363,Found possessing cocaine at a rave party in Saraswathipuram PS
FIR-394/2025-10f5,Robbery,BNS 2023,157,Threatened with a knife and stole wallet at Tumakuru Town PS
FIR-127/2026-9289,NDPS,BNS 2023,284,Smuggling synthetic drugs in a hidden compartment near Saraswathipuram PS
FIR-214/2025-8aca,NDPS,BNS 2023,129,Caught selling marijuana packets near college in Devaraja PS
FIR-660/2025-e9c9,Murder,BNS 2023,229,Attacked with a sharp weapon at night near Hubballi Town PS
FIR-712/2026-b8f5,Murder,BNS 2023,244,Stabbed after a drunken brawl in Tilakwadi PS
FIR-213/2026-0606,POCSO,BNS 2023,295,Groomed minor over social media
FIR-836/2026-3a47,Cheating,BNS 2023,168,Promised a job and took advance money in Tumakuru Town PS
FIR-503/2026-1825,Murder,BNS 2023,177,Poisoned during a family dispute at Hubballi Town PS
FIR-170/2026-4eaf,NDPS,BNS 2023,139,Smuggling synthetic drugs in a hidden compartment near Kuvempunagar PS
FIR-673/2026-f709,POCSO,BNS 2023,347,Groomed minor over social media
FIR-222/2025-a604,Robbery,BNS 2023,205,Threatened with a knife and stole wallet at Indiranagar PS
FIR-452/2026-1bfc,Cyber Crime,BNS 2023,273,Tricked victim into sharing OTP over phone call
FIR-651/2025-59b6,Cyber Crime,BNS 2023,387,Sent phishing link offering fake loan
FIR-854/2026-f6ae,NDPS,BNS 2023,104,Smuggling synthetic drugs in a hidden compartment near Khadebazar PS
FIR-469/2026-feff,NDPS,BNS 2023,132,Caught selling marijuana packets near college in Kyathasandra PS
FIR-327/2026-d28d,Cyber Crime,BNS 2023,171,Tricked victim into sharing OTP over phone call
FIR-309/2025-8d4a,Murder,BNS 2023,146,Attacked with a sharp weapon at night near Tumakuru Town PS
FIR-339/2025-ee3a,Theft,BNS 2023,163,Pickpocketed mobile phone at a crowded market in Indiranagar PS
FIR-401/2026-a690,Theft,BNS 2023,190,Stole copper wires from a construction site in Kyathasandra PS
FIR-408/2026-a122,Cheating,BNS 2023,284,Chit fund scam defrauding multiple investors in Tumakuru Town PS
FIR-840/2026-73fb,Assault,BNS 2023,327,Road rage incident leading to severe injuries near Koramangala PS
FIR-773/2025-6a87,Theft,BNS 2023,138,Stole copper wires from a construction site in Tumakuru Town PS
FIR-163/2025-ef3f,Cheating,BNS 2023,209,Sold fake property documents to victim in Koramangala PS
FIR-846/2026-2c58,Theft,BNS 2023,232,Stole copper wires from a construction site in Hubballi Town PS
FIR-768/2026-6569,Assault,BNS 2023,363,Group clash using sticks and stones in Koramangala PS
FIR-844/2026-c680,Cheating,BNS 2023,354,Sold fake property documents to victim in Kyathasandra PS
FIR-286/2026-a312,Cheating,BNS 2023,113,Sold fake property documents to victim in Vidyanagar PS
FIR-268/2025-a4c3,NDPS,BNS 2023,249,Caught selling marijuana packets near college in Koramangala PS
FIR-155/2026-ce2b,Robbery,BNS 2023,292,Threatened with a knife and stole wallet at Koramangala PS
FIR-536/2025-cb43,Cyber Crime,BNS 2023,189,Tricked victim into sharing OTP over phone call
FIR-740/2025-cce6,Assault,BNS 2023,179,Physical altercation over property dispute in Tumakuru Town PS
FIR-384/2025-7603,Robbery,BNS 2023,225,Snatched gold chain while victim was walking near Khadebazar PS
FIR-642/2026-55a4,Theft,BNS 2023,268,Stole parked two-wheeler from Koramangala PS
FIR-197/2026-9a21,Theft,BNS 2023,287,Stole parked two-wheeler from Tumakuru Town PS
FIR-791/2026-575b,Robbery,BNS 2023,259,Threatened with a knife and stole wallet at Tumakuru Town PS
FIR-953/2025-9503,Murder,BNS 2023,145,Stabbed after a drunken brawl in Saraswathipuram PS
FIR-859/2026-0a80,Robbery,BNS 2023,189,Snatched gold chain while victim was walking near Hubballi Town PS
FIR-404/2026-bd20,Cheating,BNS 2023,202,Sold fake property documents to victim in Khadebazar PS
FIR-103/2025-682a,Murder,BNS 2023,318,Stabbed after a drunken brawl in Tilakwadi PS
FIR-919/2026-6a9d,NDPS,BNS 2023,235,Found possessing cocaine at a rave party in Vidyanagar PS
FIR-313/2025-63c6,NDPS,BNS 2023,385,Found possessing cocaine at a rave party in Tilakwadi PS
FIR-609/2025-b461,POCSO,BNS 2023,361,Groomed minor over social media
FIR-788/2025-ed3e,Theft,BNS 2023,361,Stole parked two-wheeler from Khadebazar PS
FIR-419/2026-c6fa,Theft,BNS 2023,233,Stole parked two-wheeler from Cubbon Park PS
FIR-812/2025-3cd1,Murder,BNS 2023,212,Poisoned during a family dispute at Vidyanagar PS
FIR-790/2026-b195,Cheating,BNS 2023,282,Promised a job and took advance money in Malleswaram PS
FIR-368/2026-7214,Assault,BNS 2023,249,Physical altercation over property dispute in Tumakuru Town PS
FIR-785/2025-8e5d,Theft,BNS 2023,399,Stole copper wires from a construction site in Hubballi Town PS
FIR-969/2026-4e2d,Cheating,BNS 2023,245,Sold fake property documents to victim in Devaraja PS
FIR-479/2026-e086,Theft,BNS 2023,144,Stole parked two-wheeler from Kuvempunagar PS
FIR-927/2025-b3f2,Theft,BNS 2023,358,Stole copper wires from a construction site in Tumakuru Town PS
FIR-989/2025-d7db,Theft,BNS 2023,299,Stole parked two-wheeler from Cubbon Park PS
FIR-864/2026-39f0,POCSO,BNS 2023,263,Assaulted minor on the way to school near Tumakuru Town PS
FIR-758/2026-e275,Theft,BNS 2023,146,Stole copper wires from a construction site in Belagavi Camp PS
FIR-453/2026-0ee7,Murder,BNS 2023,356,Stabbed after a drunken brawl in Devaraja PS
FIR-607/2025-ff7a,Robbery,BNS 2023,387,Snatched gold chain while victim was walking near Koramangala PS
FIR-891/2026-7777,Theft,BNS 2023,384,Pickpocketed mobile phone at a crowded market in Kyathasandra PS
FIR-828/2025-10d9,Robbery,BNS 2023,295,Broke into house and stole valuables in Kyathasandra PS
FIR-690/2025-a9d4,NDPS,BNS 2023,127,Caught selling marijuana packets near college in Saraswathipuram PS
FIR-824/2025-c639,Theft,BNS 2023,247,Stole parked two-wheeler from Belagavi Camp PS
FIR-458/2025-63f5,NDPS,BNS 2023,221,Smuggling synthetic drugs in a hidden compartment near Cubbon Park PS
FIR-725/2026-df09,Cheating,BNS 2023,226,Promised a job and took advance money in Tilakwadi PS
FIR-463/2026-c8db,Cheating,BNS 2023,366,Sold fake property documents to victim in Kyathasandra PS
FIR-374/2025-79b9,Cyber Crime,BNS 2023,278,Romance scam on dating app leading to crypto transfer
FIR-866/2026-629f,POCSO,BNS 2023,234,Harassed minor in the neighborhood of Vidyanagar PS
FIR-163/2026-03f5,NDPS,BNS 2023,221,Smuggling synthetic drugs in a hidden compartment near Devaraja PS
FIR-413/2026-7557,Theft,BNS 2023,258,Stole parked two-wheeler from Kuvempunagar PS
FIR-402/2026-54c4,Robbery,BNS 2023,126,Snatched gold chain while victim was walking near Tumakuru Town PS
FIR-589/2025-7987,POCSO,BNS 2023,260,Harassed minor in the neighborhood of Saraswathipuram PS
FIR-443/2026-8db4,NDPS,BNS 2023,369,Smuggling synthetic drugs in a hidden compartment near Devaraja PS
FIR-659/2026-8431,Cheating,BNS 2023,321,Sold fake property documents to victim in Saraswathipuram PS
FIR-663/2025-2b9f,POCSO,BNS 2023,176,Harassed minor in the neighborhood of Devaraja PS
FIR-131/2025-d683,NDPS,BNS 2023,103,Smuggling synthetic drugs in a hidden compartment near Kuvempunagar PS
FIR-321/2026-6478,Murder,BNS 2023,333,Poisoned during a family dispute at Kyathasandra PS
FIR-103/2026-f3cc,Cyber Crime,BNS 2023,189,Tricked victim into sharing OTP over phone call
FIR-355/2026-0819,Cyber Crime,BNS 2023,270,Tricked victim into sharing OTP over phone call
FIR-252/2026-665c,NDPS,BNS 2023,314,Found possessing cocaine at a rave party in Kyathasandra PS
FIR-547/2026-1d17,Assault,BNS 2023,118,Group clash using sticks and stones in Cubbon Park PS
FIR-132/2025-9dc3,Cyber Crime,BNS 2023,152,Romance scam on dating app leading to crypto transfer
FIR-415/2025-94c9,Theft,BNS 2023,103,Stole copper wires from a construction site in Hubballi Town PS
FIR-702/2025-b313,NDPS,BNS 2023,369,Found possessing cocaine at a rave party in Kuvempunagar PS
FIR-972/2025-f942,Robbery,BNS 2023,172,Threatened with a knife and stole wallet at Kuvempunagar PS
FIR-190/2026-b4a0,Robbery,BNS 2023,283,Threatened with a knife and stole wallet at Hubballi Town PS
FIR-255/2025-cf3b,Theft,BNS 2023,282,Stole copper wires from a construction site in Khadebazar PS
FIR-683/2026-bf0f,NDPS,BNS 2023,130,Caught selling marijuana packets near college in Cubbon Park PS
FIR-470/2025-2d41,Murder,BNS 2023,313,Attacked with a sharp weapon at night near Malleswaram PS
FIR-723/2026-4d02,Cheating,BNS 2023,124,Promised a job and took advance money in Tilakwadi PS
FIR-921/2025-0388,Murder,BNS 2023,309,Poisoned during a family dispute at Vidyanagar PS
FIR-725/2025-f2cd,Cheating,BNS 2023,372,Promised a job and took advance money in Dharwad Suburban PS
FIR-898/2026-2d0f,NDPS,BNS 2023,331,Found possessing cocaine at a rave party in Cubbon Park PS
FIR-886/2026-be0c,Murder,BNS 2023,158,Stabbed after a drunken brawl in Tumakuru Town PS
FIR-436/2026-b729,POCSO,BNS 2023,266,Assaulted minor on the way to school near Devaraja PS
FIR-635/2025-c7ea,Murder,BNS 2023,385,Stabbed after a drunken brawl in Vidyanagar PS
FIR-444/2025-f55d,Robbery,BNS 2023,308,Broke into house and stole valuables in Hubballi Town PS
FIR-783/2026-0895,NDPS,BNS 2023,181,Found possessing cocaine at a rave party in Dharwad Suburban PS
FIR-447/2025-f04a,NDPS,BNS 2023,234,Found possessing cocaine at a rave party in Dharwad Suburban PS
FIR-339/2026-220e,Robbery,BNS 2023,255,Threatened with a knife and stole wallet at Belagavi Camp PS
FIR-497/2026-6750,Cyber Crime,BNS 2023,146,Romance scam on dating app leading to crypto transfer
FIR-569/2026-4cc4,Robbery,BNS 2023,111,Broke into house and stole valuables in Vidyanagar PS
FIR-510/2026-858d,Theft,BNS 2023,174,Stole parked two-wheeler from Hubballi Town PS
FIR-312/2025-71eb,Murder,BNS 2023,106,Attacked with a sharp weapon at night near Saraswathipuram PS
FIR-534/2026-b2d7,Cyber Crime,BNS 2023,397,Sent phishing link offering fake loan
FIR-701/2025-a16e,POCSO,BNS 2023,231,Harassed minor in the neighborhood of Kyathasandra PS
FIR-145/2025-f27c,NDPS,BNS 2023,280,Caught selling marijuana packets near college in Khadebazar PS
FIR-183/2025-ef70,Assault,BNS 2023,389,Physical altercation over property dispute in Indiranagar PS
FIR-202/2025-7ba9,NDPS,BNS 2023,283,Caught selling marijuana packets near college in Saraswathipuram PS
FIR-870/2026-495e,Cheating,BNS 2023,226,Chit fund scam defrauding multiple investors in Hubballi Town PS
FIR-991/2026-fe86,Theft,BNS 2023,202,Pickpocketed mobile phone at a crowded market in Vidyanagar PS
FIR-843/2025-e717,Theft,BNS 2023,163,Pickpocketed mobile phone at a crowded market in Belagavi Camp PS
