Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
9468,03/24/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಕುಮಾರಕೃಪ ಅತಿಥಿ ಗೃಹವನ್ನು ವಾಸ್ತವ್ಯಕ್ಕೆ ನೀಡಲು ತಾರತಮ್ಯ ಮಾಡುತ್ತಿರುವುದು,Kumarakrappa discriminates to host a guest house,ತನ್ವೀರ್ ಸೇಠ್,Tanvir Seth
9469,03/24/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಗುತ್ತಿಗೆ ನೌಕರರ ವೇತನ ತರಾತಮ್ಯ ಮತ್ತು ಗೌರವಧನ ನೀಡುವುದು,Lease employee pay discrimination and honor,ರಾಜೀವ್ ಪಿ,Rajiv P.
9470,03/24/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಗುತ್ತಿಗೆ ಆಧಾರದಲ್ಲಿ ಕೆಲಸ ನಿರ್ವಹಿಸುತ್ತಿರುವ ನೌಕರರು,Employees who work on contract basis,ಸುರೇಶ್ ಬಾಬು ಸಿ.ಬಿ,Suresh Babu CB
9471,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಭೂ ಸ್ವಾಧೀನ ಪಡಿಸಿಕೊಳ್ಳುವುದು,Land Acquisition,ಕೃಷ್ಣ ರೆಡ್ಡಿ ಎಂ,Krishna Reddy M.
9472,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಸಾರ್ವಜನಿಕ ಉದ್ದೇಶಕ್ಕಾಗಿ ಕಾಯ್ದಿರಿಸಿದ ಸ್ಥಳ,Reserved space for public purpose,ಮುನಿರಾಜು ಎಸ್,Muniraju S.
9473,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಸಕ್ಕರೆ ಕಾರ್ಖಾನೆಗಳಿಗೆ ಸಹಾಯ ಧನ ನೀಡುವುದು,To help sugar factories,ಕಾಶಪ್ಪನವರ್ ವಿಜಯಾನಂದ್ ಶಿವಶಂಕರಪ್ಪ,Keshappanavar Vijayanand Shivashankarappa
9474,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಸಣ್ಣ ಕೈಗಾರಿಕೆಗಳನ್ನು ಸ್ಥಾಪಿಸುವುದು,Establish small industries,ಜೊಲ್ಲೆ ಶಶಿಕಲಾ ಅಣ್ಣಾ ಸಾಹೇಬ್,Joel Shashikala Anna Saheb
9475,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಸಣ್ಣ ಕೈಗಾರಿಕಗಳಿಗೆ ನೀಡಲಾಗುತ್ತಿರುವ ವಿವಿಧ ಸೌಲಭ್ಯಗಳು,Various facilities offered to small industries,ರುದಪ್ಪ ಮಾನಪ್ಪ ಲಮಾಣಿ,Rudappa Manappa Lamani
9476,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಸಣ್ಣ ಕೈಗಾರಿಕಗಳ ಅಭಿವೃದಿಗ್ಧೆ ಸರ್ಕಾರ ಕೈಗೊಂಡಿರುವ ಕ್ರಮಗಳು,Measures taken by the Government in the development of small industries,ಉಮೇಶ್ ವಿಶ್ವನಾಥ್ ಕತ್ತಿ,Umesh Vishwanath Sword
9477,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಸಣ್ಣ ಕೈಗಾರಿಕೆಗಳ ಸ್ಥಾಪನೆ,Establishment of small industries,ಶ್ರೀನಿವಾಸ್ ಜಿ.ಹೆಚ್,Srinivas GH
9478,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ವಿಶ ಹೂಡಿಕೆ ದಾರರ ಸಮಾವೇಶ ನಡೆಸುವುದು,Conducting Conference of Visionists,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ,Revanna HD
9479,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಮರಳು ನೀತಿ ಅನುಸರಿಸದಿರುವುದು,Sand policy not followed,ಅಪ್ಪಚ್ಚು ರಂಜನ್ ಎಂ.ಪಿ,Appachan Ranjan MP
9480,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಮರಳು ಲಭ್ಯವಿಲ್ಲದೇ ತೊಂದರೆಯಾಗಿರುವುದು,The sand is not bothered,ಬಣಕಾರ್ ಯು.ಬಿ,Banakar UB
9481,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಮರಳು ಕಳ್ಳ ಸಾಗಾಣಿಕೆಯನ್ನು ತಡೆಗಟ್ಟುವುದು,Preventing sand smuggling,ಗೋವಿಂದ ಎಂ.ಕಾರಜೋಳ,Govinda M.Karajola
9482,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಮರಳು ಗಣಿಗಾರಿಕೆ ನೀತಿ ಜಾರಿಗೆ ತರುವುದು,The sand mining policy will be implemented,ವೆಂಕಟರಮಣಯ್ಯ ಟಿ,Venkataramanyaya T.
9483,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಮರಳು ಗಣಿಗಾರಿಕೆ ತಡೆಯಲು ಮರಳು ನೀತಿ ಜಾರಿ,Sand policy enforcement to prevent sand mining,ಪುಟ್ಟಣಯ್ಯ ಕೆ.ಎಸ್,Puttanayya KS
9484,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಮರಳು ಗಣಿಗಾರಿಕೆಯನ್ನು ನಿಯಂತ್ರಿಸುವುದು,Control of sand mining,ಅನಿಲ್ ಲಾಡ್,Anil Lad
9485,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಅನಧಿಕೃತ ಜಲ್ಲಿಕಲ್ಲು ಕ್ರಷರ್ ತಡೆಗಡಟ್ಟುವುದು,Preventing unauthorized gravel crusher,ಉಮೇಶ್ ಜಿ. ಜಾಧವ್ ಡಾ,Umesh G. Jadhav Dr.
9486,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಅಕಮ ಮರಳುಗಾರಿಕೆ,Akam sanding,ಶಾಂತನಗೌಡ ಡಿ.ಜಿ,Shantanagowda DG
9487,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಅಕ್ರಮ ಮರಳು ದಂಧೆ,Illegal sand,ಸಂಜಯ್ ಬಿ. ಪಾಟೀಲ್,Sanjay B. Patil
9488,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಅದಿರು ಕಂಪನಿ ನೌಕರರ ಭದ್ರತೆ,Ore Company Employee Security,ಮೋಹಿಯುದ್ದಿನ್ ಬಾವಾ ಬಿ.ಎ,Mohiuddin Bawa BA
9489,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಜಿ ಟಿ ಟಿ ಸಿ ಕೇಂದ್ರ ಮತ್ತು ಉಪಕೇಂದ್ರ ಸ್ಥಾಪನೆ,Establishment of GTTC Central and Sub Centre,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್,Sudhakar Lal PR
9490,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಜಿಟಿಟಿಸಿ ಸಂಸ್ಥಯಲ್ಲಿ ಕಾರ್ಯ ನಿರ್ವಹಿಸುತ್ತಿರುವ ನೌಕರರಿಗೆ ಬಡ್ತಿ,Promoted to employees working in GTTC,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್,Sudhakar Lal PR
9491,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಏಕರೂಪ ಮರಳು ನೀತಿ ಜಾರಿಗೊಳಿಸುವುದು,Implementation of Uniform Sand Policy,ಮಂಜುನಾಥ್ ಗೌಡ ಕೆ.ಎಸ್,Manjunath Gowda KS
9492,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಹಟ್ಟಿ ಚಿನ್ನದ ಗಣಿಯಲ್ಲಿ ಸ್ಥಳೀಯರಿಗೆ ಉದ್ಯೋಗ ಕಲ್ಪಿಸುವುದು,Employment to locals in Hutti Gold mine,ಮಾನಪ್ಪ ಡಿ.ವಜ್ಜಲ್,Manappa D. Wajjal
9493,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಕಲ್ಲು ಗಣಿಗಾರಿಕೆ ನಡೆಸಲು ಅಳವಡಿಸಿಕೊಳ್ಳಲಾಗಿರುವ ನಿಯಮಗಳು,Rules adapted for stone mining,ಅಶೋಕ್ ಖೇಣಿ,Ashok Kheni
9494,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಕಲ್ಲು ಗಣಿಗಾರಿಕೆಗೆ ಅನುಮತಿ,Permission for stone mining,ಸುರೇಶ್ ಗೌಡ ಬಿ,Suresh Gowda b
9495,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಕಾರ್ಖಾನೆಗಳಲಿ ಸ್ಥಳಿಯರಿಗೆ ಉದ್ಯೋಗ ಅವಕಾಶ ಕಲ್ಪಿಸುವುದು,Employment opportunity for locals in factories,ರಾಘವೇಂದ್ರ ಬಸವರಾಜ್ ಹಿಟ್ನಾಳ್,Raghavendra Basavaraj Hitnal
9496,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಕೆ ಐ ಎ ಡಿ ಬಿಯು ಸ್ವಾಧೀನ ಪಡಿಸಿಕೊಂಡಿರುವ ಜಮೀನು,Land acquired by KIADB,ಪಿಳ್ಳ ಮುನಿಶಾಮಪ್ಪ,Pillai Munisamappa
9497,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಕೈಗಾರಿಕಾ ಪ್ರದೇಶದಲ್ಲಿ ಕೈಗಾರಿಕಾ ಫ್ಲಾಟು ಹಂಚಿಕೆ ಮಾಡಿಕೊಡುವುದು,Distribution of industrial flats in the industrial area,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್,Sudhakar Lal PR
9498,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಕೈಗಾರಿಕಾ ವಲಯದಲ್ಲಿ ಕನ್ನಡಿಗರಿಗೆ ಆದ್ಯತೆ,Priority to Kannadigas in the Industrial Area,ಮೋಹಿಯುದ್ದಿನ್ ಬಾವಾ ಬಿ.ಎ,Mohiuddin Bawa BA
9499,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಕೈಗಾರಿಕಾ ಕೇಂದ್ರಗಳ ಸ್ಥಾಪನೆ,Establishment of Industrial Centers,ಮೇಟಿ ಹುಲ್ಲಪ್ಪ ಯಮನಪ್ಪ,Mate hullappa yamanappa
9500,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಕೈಗಾರಿಕಾ ಘಟಕUಳ ಸ್ಥಾಪನೆ,Establishment of Industrial Unit,ಮೇಟಿ ಹುಲ್ಲಪ್ಪ ಯಮನಪ್ಪ,Mate hullappa yamanappa
9501,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಕೈಗಾರಿಕೆಗಳ ಸ್ಥಾಪನೆ,Establishment of industries,ರಾಜಣ್ಣ ಎಂ,Rajanna M.
9502,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಖಾದಿ ಮತ್ತು Uಮೋದ್ಯೋಗ ಉತ್ಪನ್ನಗಳು ರಾಜ್ಯದ ಎಲ್ಲಾ Uಮಗಳಲ್ಲಿ ದೊರೆಯುವಂತೆ ಮಾಡುವುದು,Khadi and U labor products are available in all UMs of the state,ರುದಪ್ಪ ಮಾನಪ್ಪ ಲಮಾಣಿ,Rudappa Manappa Lamani
9503,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಗಣಿ ಚಟಿವಟಿಕೆಗಳನ್ನು ನಡೆಸಲು ರೂಪಿಸಿರುವ ಮಾರ್ಗ ಸ್ರಚಿ,The way the mold has been designed to run mine,ಶಿವಾನಂದ ಎಸ್ ಪಾಟೀಲ್,Sivananda S Patil
9504,03/24/2015,ಬೃಹತ್ ಮತ್ತು ಮಧ್ಯಮ ಕೈಗಾರಿಕೆ ,Large and medium enterprise,ಗಣಿಗಾರಿಕೆ ಪರವಾನಿಗೆ,Mining license,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Sidramappa Khuba
9505,03/24/2015,ಅಬಕಾರಿ ,Excrise department,ಮದ್ಯಪಾನದ ಬಗ್ಗೆ ಜನಜಗೃತಿ ಮೂಡಿಸುವುದು,Making fun of drinking alcohol,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Sidramappa Khuba
9506,03/24/2015,ಆರ್ಥಿಕ ,Finance,ಸಾರಾಯಿ ಮಾರಾಟಗಾರರಿಗೆ ಪುರ್ನವಸತಿ ಕಲ್ಪಿಸುವುದು,Providing residency to salary vendors,ಬಸವರಾಜ್ ನೀಲಪ್ಪ ಶಿವಣ್ಣನವರ್,Basavaraj Nilappa Shivanna Nair
9507,03/24/2015,ಆರ್ಥಿಕ ,Finance,ಸರ್ಕಾರzದಿಂದ ಮಂಜೂರಾಗಿರುವ ಅನುದಾನ,Grants granted by Government z,ಮಹೇಶ್ ಎಸ್.ಆರ್,Mahesh SR
9508,03/24/2015,ಆರ್ಥಿಕ ,Finance,ವಿವಿಧ ಯೋಜನೆಗಳಿಗೆ ಬಿಡುಗಡೆಯಾದ ಅನುದಾನ,Grants released to various projects,ಅಖಂಡ ಶ್ರೀನಿವಾಸಮೂರ್ತಿ ಆರ್,Akhand Srinivas Murthy R.
9509,03/24/2015,ಆರ್ಥಿಕ ,Finance,ಬಿಡುಗಡೆಯಾದ ಅನುದಾನ,Release grant,ಶ್ರೀನಿವಾಸ್ ಜಿ.ಹೆಚ್,Srinivas GH
9510,03/24/2015,ಆರ್ಥಿಕ ,Finance,ವಯೋ ನಿವೃತ್ತಿ ಹೊಂದಿವರಿಗೆ ೬ನೇ ವೇತನ ಆಯೋಗದ ವೇತನ ಮಂಜೂರುರಾಗಿರುವುದು,Payment of 6th Pay Commission shall be sanctioned for retirement age,ಕೋನರೆಡ್ಡಿ ಎನ್ ಎಚ್,Konareddy N H.
9511,03/24/2015,ಆರ್ಥಿಕ ,Finance,ಮದದಂಗಡಿಗಳನ್ನು ತೆರೆಯಲು ಪರವಾನಗಿ ನೀಡುವುದು,Licensing to open the mangroves,ಪುಟ್ಟರಂಗಶೆಟ್ಟಿ ಸಿ,Puttarangasetti c
9512,03/24/2015,ಆರ್ಥಿಕ ,Finance,ಮಧ್ಯ ಮಾರಾಟದಿಂದ ಸಂಗ್ರಹಿಸಿದ ಆದಾಯ,Collected income from mid-sale,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ,Sunil Kumar V.
9513,03/24/2015,ಆರ್ಥಿಕ ,Finance,ಮೈಸೂರು ರೇಸ್ ಕ್ಲಬ್ ಗೆ ನೀಡಿರುವ ಜಮೀನು,Land given to Mysore Race Club,ಮಹೇಶ್ ಎಸ್.ಆರ್,Mahesh SR
9514,03/24/2015,ಆರ್ಥಿಕ ,Finance,ಅಧಿಕೃತ ಬಾರ್ ಅಂಡ್ ರೆಸ್ಟೋರೆಂಟ್ ಗಳು,Official bars and restaurants,ವಿನಯ್ ಕುಲಕರ್ಣಿ,Vinay Kulkarni
9515,03/24/2015,ಆರ್ಥಿಕ ,Finance,ಅಕ್ರಮ ಮಧ್ಯ ಮಾರಾಟ,Illegal mid-sell,ವಿನಯ್ ಕುಲಕರ್ಣಿ,Vinay Kulkarni
9516,03/24/2015,ಆರ್ಥಿಕ ,Finance,ಅಡಿಕೆ ಮಾರಾಟದಿಂದ ಸಂಗ್ರಹವಾದ ತೆರಿಗೆ,Tax collected from nut sales,ವಡ್ನಾಳ್ ರಾಜಣ್ಣ,Vadnal Rajanna
9517,03/24/2015,ಆರ್ಥಿಕ ,Finance,ಜನತಾ ಥೀಯೇಟರ್ ಯೋಜನೆ ಜಾರಿಯಾಗದಿರುವುದು,The Janata Theater project is not implemented,ಕೋನರೆಡ್ಡಿ ಎನ್ ಎಚ್,Konareddy N H.
9518,03/24/2015,ಆರ್ಥಿಕ ,Finance,ಆಯವ್ಯದಲ್ಲಿ ನೀಡಿದ ಅನುದಾನ,Grants in the balance sheet,ನಾರಾಯಣ ಗೌಡ,Narayana Gowda
9519,03/24/2015,ಆರ್ಥಿಕ ,Finance,ಇನ್ಫೋಸಿಸ್ ಸಂಸ್ಥೆಯು ನೀಡಬೇಕಾಗಿರುವ ಸೇವಾ ತೆರಿಗೆ,Service tax payable by Infosys,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ.ಎಂ,Shivalinge Gowda KM
9520,03/24/2015,ಆರ್ಥಿಕ ,Finance,ಈ ಕಾಮರ್ಸ್ ಸಂಸ್ಥೆಗಳು ನಡೆಸುತ್ತಿರುವ ವಹಿವಾಟಗಳು,Businesses run by these commerce companies,ಶಿವಾನಂದ ಎಸ್ ಪಾಟೀಲ್,Sivananda S Patil
9521,03/24/2015,ಆರ್ಥಿಕ ,Finance,ರಜ್ಯದಲ್ಲಿ ಲಾಟರಿ ನಿಷೇಧಿಸುವುದು,Lottery bans in the state,ಡಾ ಸುಧಾಕರ್ ಕೆ,Dr. Sudhakar K.
9522,03/24/2015,ಆರ್ಥಿಕ ,Finance,ರಾಜ್ಯ ಸರ್ಕಾತಿ ನೌಕರರಿಗೂ ಕೇಂದ್ರ ಸರ್ಕಾರದ ವೇತನವನ್ನು ನೀಡುವ ಕುರಿತು,Regarding the pay of the Central Government to the State Government employees,ಕೋನರೆಡ್ಡಿ ಎನ್ ಎಚ್,Konareddy N H.
9523,03/24/2015,ಆರ್ಥಿಕ ,Finance,ಹದ್ರಾಬಾದ್-ಕರ್ನಾಕಟ ಪ್ರದೇಶಕ್ಕೆ ಕೇಂದದಿಂದ ಬಿಡುಗಡೆಯಾದ ಅನುದಾನ,Grants released from the center to the Hyderabad-Karnatak area,ತುಕಾರಾಮ್ ಇ,Tukaram E.
9524,03/24/2015,ರೇಷ್ಮೆ ,Dept of Sericulture,ಮೈಸೂರು ರೇಷ್ಮೆ ಬೆಳೆಯುವ ರೈತರ ಸಂಖ್ಯೆ ಕ್ಷಿಣಿಸುತ್ತಿರುವುದು,Mysore silk number of farmers growing,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್,Sudhakar Lal PR
9525,03/24/2015,ರೇಷ್ಮೆ ,Dept of Sericulture,ರೇಷ ಕೃಷಿ ಅಭಿವೃದ್ಧಿಗೆ ನೀಡಲಾಗಿರುವ ಸಹಾಯ ಧನ,Assistance fund for agriculture development,ಕಾಶಪ್ಪನವರ್ ವಿಜಯಾನಂದ್ ಶಿವಶಂಕರಪ್ಪ,Keshappanavar Vijayanand Shivashankarappa
9526,03/24/2015,ರೇಷ್ಮೆ ,Dept of Sericulture,ರೇಷ ಬೆಳೆಗಾರರ ಅಭಿವೃದ್ಧಿ ಯೋಜನೆಗಳು,Growth Development Programs,ಕೃಷ್ಣ ರೆಡ್ಡಿ ಎಂ,Krishna Reddy M.
9527,03/24/2015,ರೇಷ್ಮೆ ,Dept of Sericulture,ರೇಷ ಬೆಳೆಗಾರgರಿಗೆ ಸಹಾಯಧನ ನೀಡುವುದು,Subsidy for Husband growers,ಪುಟ್ಟಣಯ್ಯ ಕೆ.ಎಸ್,Puttanayya KS
9528,03/24/2015,ರೇಷ್ಮೆ ,Dept of Sericulture,ರೇಷ ಬೆಳೆಗಾರgರಿಗೆ ನೀಡುವ ಸೌಲತ್ತುಗಳು,Benefits offered to grocery growers,ಪಾಟೀಲ್ ಬಿ.ಆರ್,Patil BR
9529,03/24/2015,ರೇಷ್ಮೆ ,Dept of Sericulture,ರೇಷ ಬೆಳೆಗಾರgರಿಗೆ ಹೊಸ ಯೋಜನೆಗಳನ್ನು ರೂಪಿಸುವುದು,Making new plans for the housewives,ಮಂಜುನಾಥ್ ಗೌಡ ಕೆ.ಎಸ್,Manjunath Gowda KS
9530,03/24/2015,ರೇಷ್ಮೆ ,Dept of Sericulture,ರೇಷ ಇಲಾಖೆಯ ವಿಲೀನ,The merger of the Department of Space,ಹ್ಯಾರಿಸ್ ಎನ್.ಎ,Harris NA
9531,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಲೈಂಗಿಕ ಕಿರುಕುಳ ಪ್ರಕರಣಗಳು,Sexual harassment cases,ರಫೀಕ್ ಅಹ್ಮದ್ ಎಸ್ ಡಾ,Rafeeq Ahmed S. Dr
9532,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಸಿಬ್ಬಂದಿ ಹಾಗೂ ಹೊಸ ಪೊಲೀಸ್ ಠಾಣೆ ಪ್ರಾರಂಭಿಸುವುದು,Staff and start a new police station,ಬಾದರ್ಲಿ ಹಂಪನಗೌಡ,Batherly Hampana Gowda
9533,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಸಾವಿನ ಪ್ರಕರಣದ ತನಿಖೆಯ ಹಂತ,The stage of investigation of the death case,ಶಕುಂತಲಾ ಟಿ. ಶೆಟ್ಟಿ,Shakuntala T. Shetty
9534,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಸಂಚಾರ ನಿಯಮ ಉಲ್ಲಂಘನೆ,Traffic rule violation,ಸುರೇಶ್ ಕುಮಾರ್ ಎಸ್,Suresh Kumar S
9535,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಸಂಚಾರಿ ಪಲೀಸ್ ಠಾಣೆಯನ್ನು ಪ್ರಾರಂಭಿಸುವುದು,The traffic police will launch the station,ಗುರು ಪಾಟೀಲ್ ಶಿರವಾಳ,Guru Patil Shilpa
9536,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ನಿವೃತ್ತ ಪೊಲೀಸರಿಗೆ ಆರೋಗ್ಯ ಭಾಗ್ಯ ಯೋಜನೆ ಜಾರಿ,Health Benefit Scheme for Retired Police,ರವಿ ಸಿ ಟಿ,Ravi c
9537,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಪೊಲೀಸ್ ಪೇದಗಳ ನೇಮಕಾತಿ,Recruitment of Police Payments,ಯಶವಂತರಾಯಗೌಡ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್,Yashwantra Gowda Vitthal Gowda Patil
9538,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಪೊಲೀಸ್ ಸಿಬಬ್ಬಂದಿ ಕೊರೆತೆ,Police cops dropped,ಅಪ್ಪಚ್ಚು ರಂಜನ್ ಎಂ.ಪಿ,Appachan Ranjan MP
9539,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಪೊಲೀಸ್ ಸಿಬ್ಬಂದಿಗಳಿಗೆ ಪಡಿತರ ನಿಲ್ಲಿಸಿರುವುದು,Stopping ration for police personnel,ರಾಜೀವ್ ಪಿ,Rajiv P.
9540,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಪೊಲೀಸ್ ಸಿಬ್ಬ್ಬಂದಿಗೆ ವಸತಿ ಗೃಹ ನಿರ್ಮಿಸುವುದು,Building a residential house for police personnel,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ,Revanna HD
9541,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಪೊಲೀಸ್ ವಸತಿ ಗೃಹ ನಿರ್ಮಾಣ ಮಾಡುವುದು,Building a residential housing,ಕೃಷ್ಣ ರೆಡ್ಡಿ ಎಂ,Krishna Reddy M.
9542,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಪೊಲೀಸ್ ವಸತಿ ಗೃಹಗಳು,Police Real Estate,ಶಕುಂತಲಾ ಟಿ. ಶೆಟ್ಟಿ,Shakuntala T. Shetty
9543,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಪೊಲೀಸ್ ಇಲಾಖೆ ನೌಕರರರಿಗೆ ಸೌಲಭ್ಯ ಕಲ್ಪಿಸುವುದು,Facilitate police department employees,ರಮೇಶ್ ಕುಮಾರ್ ಕೆ.ಆರ್,Ramesh Kumar KR
9544,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಪೊಲೀಸ್ ಇಲಾಖೆಯಲ್ಲಿ ಸಿಬ್ಬಂದಿ ಕೊರತೆ,The lack of staff in the police department,ಅರವಿಂದ ಲಿಂಬಾವಳಿ,Aravinda Limbavali
9545,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಪೊಲೀಸ್ ಇಲಾಖೆಯಲ್ಲಿ ಖಾಲಿ ಇರುವ ಹುದ್ದೆಗಳ ಭರ್ತಿ,Fill out vacant posts in police department,ಮುನಿರಾಜು ಎಸ್,Muniraju S.
9546,03/24/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಪೊಲೀಸ್ ಹುದ್ದೆಗಳನ್ನು ಸೃಜಿಸುವುದು,Creation of police posts,ಶಿವಾನಂದ ಎಸ್ ಪಾಟೀಲ್,Sivananda S Patil
