Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
1734,29/07/2013,ಕಂದಾಯ,Revenue,ಸರ್ಕಾರಿ ಜಮೀನಿನ ವಿವರ,Government land details,ಸೋಮಶೇಖರ್ ಎಸ್.ಟಿ.,Somashekhar ST
1735,29/07/2013,ಕಂದಾಯ,Revenue,ಸರ್ಕಾರಿ ಭೂಮಿ,Government land,ಸೋಮಶೇಖರ್ ಎಸ್.ಟಿ.,Somashekhar ST
1736,29/07/2013,ಕಂದಾಯ,Revenue,ಗೋಮಾಳ ಜಾಗದ ಒತ್ತುವರಿ,Enclosure of pasture space,ಸೋಮಶೇಖರ್ ಎಸ್.ಟಿ.,Somashekhar ST
1737,29/07/2013,ಕಂದಾಯ,Revenue,ಸರ್ಕಾರಿ ಭೂಮಿ ಹಂಚಿಕೆ,Government land distribution,ಸೋಮಶೇಖರ್ ಎಸ್.ಟಿ.,Somashekhar ST
1738,29/07/2013,ಸಣ್ಣ ನೀರಾವರಿ,Small irrigation,ಕೆರೆ ಕಾಲುವೆ ದುರಸ್ತಿ,Repair the lake canal,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್.ಎನ್.,Subburdy SN
1739,29/07/2013,ಮುಜರಾಯಿ,Muzarai,ಮುಜರಾಯಿ ದೇವಸ್ಥಾನದ ಪ್ರಗತಿ,Progress of the Muzrai Temple,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್.ಎನ್.,Subburdy SN
1740,29/07/2013,ಸಣ್ಣ ನೀರಾವರಿ,Small irrigation,ಅಂತರ್ಜಲ ಸುಧಾರಣೆ,Groundwater Improvement,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್.ಎನ್.,Subburdy SN
1741,29/07/2013,ಕಂದಾಯ,Revenue,ಸಾರ್ವಜನಿಕರಿಗೆ ದೊರೆಯುವ ಸೌಲಭ್ಯ,Facility available to the public,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್.ಎನ್.,Subburdy SN
1742,29/07/2013,ಅರಣ್ಯ,Forest,ಕೃಷ್ಣ ಮೃಗಗಳು ರೈತರ ಬೆಳೆಗಳಿಗೆ ಹಾನಿ ಮಾಡುತ್ತಿರುವುದು,Krishna beasts are damaging farmers' crops,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್.,Sudhakar Lal PR
1743,29/07/2013,ಭಾರೀ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಶಾಶ್ವತ ಕುಡಿಯುವ ನೀರಿನ ಯೋಜನೆ,Permanent drinking water scheme,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್.,Sudhakar Lal PR
1744,29/07/2013,ಮುಜರಾಯಿ,Muzarai,ಪ್ರಸಿದ್ಧ ದೇವಸ್ಥಾನಗಳನ್ನು ಸರ್ಕಾರದ ವಶಕ್ಕೆ ತೆಗೆದುಕೊಳ್ಳುವುದು,Famous temples are taken over by the government,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1745,29/07/2013,ಭಾರಿ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ವರಾಹಿ ನೀರಾವರಿ ಯೋಜನೆ,Varahi Irrigation Project,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1746,29/07/2013,ಕಂದಾಯ,Revenue,ಬಡ ಅವಿವಾಹಿತರಿಗೆ ಮಾಸಾಶನ,The poor people are masseen,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1747,29/07/2013,ಮೀನುಗಾರಿಕೆ,Fishing,ಸಹಾಯಕ ನಿರ್ದೇಶಕರ ಕಛೇರಿಯಲ್ಲಿ ಹುದ್ದೆಗಳು,Assistant Director's Office,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1748,29/07/2013,ಮುಜರಾಯಿ,Muzarai,ದೇವಸ್ಥಾನಗಳಲ್ಲಿ ಕಳ್ಳತನ,Theft in temples,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1749,29/07/2013,ಭಾರೀ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಹೇಮಾವತಿ ನಾಲಾವಲಯ,Hemavathi Navalaya,ಸುರೇಶ್ ಗೌಡ ಬಿ.,Suresh Gowda b 
1750,29/07/2013,ಕಾರ್ಮಿಕ,Labor,ಸರ್ಕಾರಿ ಐ.ಟಿ.ಐ. ಗಳಲ್ಲಿ ನಕಲಿ ಅನುಭವ ಪ್ರಮಾಣ ಸಲ್ಲಿಸಿ ಜೆ.ಓ.ಟಿ ಹುದ್ದೆಗಳಿಗೆ ನೇಮಕ,Government ITI Submit fake experience rates and appoint Joint posts,ತನ್ವೀರ್ ಸೇಠ್,Tanvir Seth
1751,29/07/2013,ಕಂದಾಯ,Revenue,ಉಪ ನೋಂದಣಾಧಿಕಾರಿಗಳ ಕಛೇರಿಯನ್ನು ಸ್ಥಳಾಂತರಿಸುವುದು,Transfer of Deputy Registrar's Office,ವಿಜಯಕುಮಾರ್ ಬಿ.ಎನ್.,Vijayakumar BN
1752,29/07/2013,ಸಣ್ಣ ನೀರಾವರಿ,Small irrigation,ಕೆರೆಗಳ ಒತ್ತುವರಿ ತೆರವುಗೊಳಿಸುವುದು,Clearing the lakes enclosure,ವಿಜಯಕುಮಾರ್ ಬಿ.ಎನ್.,Vijayakumar BN
1753,29/07/2013,ಕಂದಾಯ,Revenue,ಕರ್ನಾಟಕ ಭೂ ಸುಧಾರಣೆ ನಿಯಮ 79ಎ ಗೆ ತಿದ್ದುಪಡಿ,Karnataka Land Reform Laws Amendment to 79 A.,ವಿಶ್ವನಾಥ್ ಎಸ್. ಆರ್.,Vishwanath S  R 
1754,29/07/2013,ಕಂದಾಯ,Revenue,ಜಮೀನುಗಳನ್ನು ಪೋಡಿ ಮಾಡಲು ನಿಯಮ ಸಡಲಿಸುವುದು,Rule to land land,ವಿಶ್ವನಾಥ್ ಎಸ್. ಆರ್.,Vishwanath S  R 
1755,29/07/2013,ಕಂದಾಯ,Revenue,ಹಸಿರು ಪಟ್ಟಿ ವಲಯದಲ್ಲಿ ಆಕ್ರಮ ನಿವೇಶನಗಳು,Invasions in Green List Zone,ವಿಶ್ವನಾಥ್ ಎಸ್. ಆರ್.,Vishwanath S  R 
1756,29/07/2013,ಭಾರೀ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಕಾಮಗಾರಿ ಪೂರ್ಣಗೊಳಿಸುವುದು,Completing the work,ವಿಶ್ವನಾಥ್ ಪಾಟೀಲ್,Vishwanath Patil
1757,29/07/2013,ಸಣ್ಣ ನೀರಾವರಿ,Small irrigation,ನೀರಾವರಿ ಯೋಜನೆಗಳು,Irrigation projects,ವಿಶ್ವನಾಥ್ ಪಾಟೀಲ್,Vishwanath Patil
1758,29/07/2013,ಕಂದಾಯ,Revenue,ಭೂಮಿ ಸಕ್ರಮಗೊಳಿಸುವುದು,To land the land,ವಿಶ್ವೇಶ್ವರ ಹೆಗಡೆ ಕಾಗೇರಿ,Vishweshwara Hegde Kageri
1759,29/07/2013,ಕಂದಾಯ,Revenue,ಪಹಣಿ ಪತ್ರಿಕೆಯನ್ನು ಮುಟೇಶನ್ ಎಂಟ್ರಿ ಕುರಿತು,About the Mutation Entry of the Citizen,ವಿಶ್ವೇಶ್ವರ ಹೆಗಡೆ ಕಾಗೇರಿ,Vishweshwara Hegde Kageri
1760,29/07/2013,ಕಾರ್ಮಿಕ,Labor,ಬಾಲಕಾರ್ಮಿಕ ಪದ್ಧತಿಯ ನಿರ್ಮೂಲನೆ,Elimination of child labor,ಯಶವಂತರಾಯ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್,Yashavaraya Vitthal Gowda Patil
1761,29/07/2013,ಕಂದಾಯ,Revenue,ಮಲ್ಲಾಪುರ ಗ್ರಾಮದ ಕೆರೆ ಒತ್ತುವರಿ,Lake enclosure of Mallapura village,ವೈ.ಎಸ್.ವಿ. ದತ್ತಾ,YSV Dutta
1762,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಪಾಲಾರ್ ನದಿಯ ನೀರನ್ನು ಒತ್ತುವರಿ ಮಾಡಿರುವುದು,The water of the Palar river was enclosed,ರಾಮಕ್ಕ ವೈ,Ramakka Y 
1763,30/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಅಮೃತ್ ಮಹಲ್ ಜಮೀನು ಒತ್ತುವರಿ,Amrith Mahal Land Enclosure,ಶ್ರೀನಿವಾಸ್ ಜಿ.ಎಚ್.,Srinivas G H 
1764,30/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಪಶು ಚಿಕಿತ್ಸಾಲಯಗಳ ಕೊರತೆ,Lack of veterinary clinics,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್.,Sudhakar Lal PR
1765,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ರಸ್ತೆಗಳನ್ನು ಅಗೆದು ಸರಿಪಡಿಸದಿರುವುದು,Dug roads and repair,ಅಶೋಕ್ ಆರ್.,Ashok R 
1766,30/07/2013,ಇಂದನ,From now on,ನವೀಕರಿಸಬಹುದಾದ ಇಂಧನದ ಉತ್ಪಾದನೆ,Renewable Energy Production,ಸುಧಾಕರ್ ಕೆ.,Sudhakar K 
1767,30/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ದೇಶೀಯ ತಳಿಗಳ ರಕ್ಷಣೆ,Protection of domestic breeds,ಪುಟ್ಟಣ್ಣಯ್ಯ ಕೆ.ಎಸ್.,Puttannaiah K S 
1768,30/07/2013,ಇಂಧನ,Fuel,110/11 ಕೆ.ವಿ. ಸಬ್-ಸ್ಟೇಷನ್ ನ ಪ್ರಸ್ತಾವನೆ,110/11 KV Sub-station proposal,ರಾಜಾ ವೆಂಕಟಪ್ಪ ನಾಯಕ,Raja Venkatappa is the leader
1769,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಸರ್ಕಾರಿ ಜಾಗದಲ್ಲಿ ಖಾಸಗಿ ರಸ್ತೆ ನಿರ್ಮಿಸಿರುವುದು,A private road is being built in government space,ಅಖಂಡ ಶ್ರೀನಿವಾಸಮೂರ್ತಿ ಆರ್.,Akhand Srinivas Murthy R 
1770,30/07/2013,ಯೋಜನೆ ಮತ್ತು ಸಾಂಖ್ಯಿಕ,Plan and Numerical,ಸಕಾಲ ಯೋಜನೆಯ ದುರುಪಯೋಗ,Misuse of the Sakala project,ರಾಜಣ್ಣ ಎಂ,Rajanna M 
1771,30/07/2013,ಗೃಹ,Home,ಜೋಡಿ ಕೊಲೆ ಪ್ರಕರಣ,Murder case,ಮೋಹಿಯುದ್ದಿನ್ ಬಾವಾ ಬಿ.ಎ.,Mohiuddin BAVA BA
1772,30/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುಚ್ಚಕ್ತಿಯ ಸರಬರಾಜು,Electricity Supply,ಜಗದೀಶ್ ಕುಮಾರ್ ಆರ್.,Jagdish Kumar R 
1773,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ನಿವೇಶನಗಳ ಹಂಚಿಕೆ,Distribution of sites,ಸುರೇಶ್ ಕುಮಾರ್ ಎಸ್.,Suresh Kumar S
1774,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ವಾಣಿಜ್ಯ ಸಂಕೀರ್ಣದಲ್ಲಿ ಬಾಡಿಗೆಗೆ ನೀಡಿರುವ ಮಳಿಗೆಗಳು,Rented Stores in Commercial Complex,ವಿಜಯಕುಮಾರ್ ಬಿ.ಎನ್.,Vijayakumar BN
1775,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ವರ್ತುಲ ರಸ್ತೆಗೆ ಸಂಪರ್ಕ ರಸ್ತೆ ನಿರ್ಮಾಣ,Road connectivity to Ring Road,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
1776,30/07/2013,ಗೃಹ,Home,ಲೋಕಾಯುಕ್ತ ಮತ್ತು ಆದಾಯ ತೆರಿಗೆ ಇಲಾಖೆ,Lokayukta and Income Tax Department,ರವಿ ಸಿ.ಟಿ.,Ravi CT
1777,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಚರ್ಮದ ಮಂಡಿಯಿಂದ ಸಾರ್ವಜನಿಕರಿಗೆ ತೊಂದರೆಯಾಗುತ್ತಿರುವುದು,The problem with the public is the skin knee,ಅಖಂಡ ಶ್ರೀನಿವಾಸಮೂರ್ತಿ ಆರ್.,Akhand Srinivas Murthy R 
1778,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕುಡಿಯುವ ನೀರಿನ ಸಂಗ್ರಹಣಕ್ಕೆ ನಿರ್ಮಾಣ ಮಾಡುವುದು,Building drinking water storage,ಅಖಂಡ ಶ್ರೀನಿವಾಸಮೂರ್ತಿ ಆರ್.,Akhand Srinivas Murthy R 
1779,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಮೂಲಭೂತ ಸೌಲಭ್ಯ ಒದಗಿಸುವುದು,Providing basic facilities,ಅಖಂಡ ಶ್ರೀನಿವಾಸಮೂರ್ತಿ ಆರ್.,Akhand Srinivas Murthy R 
1780,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ರಾಜಕಾಲುವೆಗಳ ನಿರ್ಮಾಣ,Construction of royal palaces,ಅಖಂಡ ಶ್ರೀನಿವಾಸಮೂರ್ತಿ ಆರ್.,Akhand Srinivas Murthy R 
1781,30/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಉಪ ಕೇಂದ್ರಗಳನ್ನು ಸ್ಥಾಪಿಸುವುದು,Establishing power sub-centers,ಅಶೋಕ್ ಖೇಣಿ,Ashok Kheni
1782,30/07/2013,ಗೃಹ,Home,ಹೆಚ್ಚಾಗಿರುವ ಅತ್ಯಾಚಾರ ಪ್ರಕರಣಗಳು,Rapid rape cases,ಅಶೋಕ್ ಆರ್.,Ashok R 
1783,30/07/2013,ಗೃಹ,Home,ಲೈವ್ ಬ್ಯಾಂಡ್ ಮತ್ತು ಅನೈತಿಕ ಚಟುವಟಿಕೆಗಳು,Live band and immoral activities,ಅಶೋಕ್ ಆರ್.,Ashok R 
1784,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಒಳಚರಂಡಿ ಅವ್ಯವಸ್ಥೆ,Sewer disorder,ಅಶೋಕ್ ಆರ್.,Ashok R 
1785,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕುಡಿಯುವ ನೀರಿನ ತೊಂದರೆ,The problem with drinking water,ಅಶೋಕ್ ಆರ್.,Ashok R 
1786,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಬದಲಿ ನಿವೇಶನ ನೀಡುವುದು,Providing replacement sites,ಬಾಲಕೃಷ್ಣ ಸಿ.ಎನ್.,Balakrishna C N
1787,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕೆಂಪೇಗೌಡ ಬಡಾವಣೆಯ ನಿರ್ಮಾಣ,Construction of Kempegowda Layout,ಬಾಲಕೃಷ್ಣ ಸಿ.ಎನ್.,Balakrishna C N
1788,30/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಪಶು ವೈದ್ಯಾಧಿಕಾರಿಗಳ ಕೊರತೆ,Lack of veterinarians,ಬಾಲಕೃಷ್ಣ ಸಿ.ಎನ್.,Balakrishna C N
1789,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕೈಗಾರಿಕಾ ಉದ್ದೇಶಕ್ಕಾಗಿ ಭೂಸ್ವಾಧೀನಪಡಿಸಿರುವುದು,Land acquisition for industrial purpose,ಬಾಲಕೃಷ್ಣ ಸಿ.ಎನ್.,Balakrishna C N
1790,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಬಿ.ಡಿ.ಎ. ವತಿಯಿಂದ ಜಮೀನು ನೀಡಿರುವುದು,BDA Land by Land,ಬಾಲಕೃಷ್ಣ ಸಿ.ಎನ್.,Balakrishna C N
1791,30/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಹೊಸದಾಗಿ ಪಶು ಚಿಕಿತ್ಸಾಲಯ ಕೇಂದ್ರಗಳನ್ನು ತೆರೆಯುವುದು,Newly opened veterinary clinic centers,ಬಾಲಕೃಷ್ಣ ಸಿ.ಎನ್.,Balakrishna C N
1792,30/07/2013,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರ,Law and Parliamentary Affairs,ಖಾಲಿ ಇರುವ ಹುದ್ದೆಗಳು,Vacant posts,ಬಾಲಕೃಷ್ಣ ಸಿ.ಎನ್.,Balakrishna C N
1793,30/07/2013,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರ,Law and Parliamentary Affairs,ನ್ಯಾಯಾಲಯಗಳಲ್ಲಿ ಮೂಲಭೂತ ಸೌಕರ್ಯ ಒದಗಿಸುವುದು,Providing infrastructure in courts,ಬಾಲಕೃಷ್ಣ ಸಿ.ಎನ್.,Balakrishna C N
1794,30/07/2013,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರ,Law and Parliamentary Affairs,ಬಾಕಿ ಇರುವ ಪ್ರಕರಣಗಳು,Pending cases,ಬಾಲಕೃಷ್ಣ ಸಿ.ಎನ್.,Balakrishna C N
1795,30/07/2013,ಇಂಧನ,Fuel,ಟ್ರಾನ್ಸ್ ಫಾರ್ಮರ್ಸ್ ಗಳ ದುರಸ್ತಿ ವಿಳಂಬವಾಗುತ್ತಿರುವುದು,Troubleshooting of transmers,ಬಾಲಕೃಷ್ಣ ಸಿ.ಎನ್.,Balakrishna C N
1796,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಒಳಚರಂಡಿ ವ್ಯವಸ್ಥೆ,Drainage system,ಬಸವರಾಜ್ ಬಿ.ಎ.,Basavaraj BA
1797,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಸುರಂಗ ಮಾರ್ಗ ನಿರ್ಮಾಣ,Construction of the tunnel,ಬೋಪಯ್ಯ ಕೆ.ಜಿ.,Bopayya KG
1798,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಬನಶಂಕರಿ ಆರನೇ ಹಂತದ ಅಭಿವೃದ್ಧಿ,Banashankari is the sixth stage development,ಬೋಪಯ್ಯ ಕೆ.ಜಿ.,Bopayya KG
1799,30/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಆಕ್ರಮ ಗಣಿಗಾರಿಕೆ,Mining mining,ದೊಡ್ಡನಗೌಡ ಹನುಮಗೌಡ ಪಾಟೀಲ್,Lalan Gowda Hanumagowda Patil
1800,30/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಉತ್ಪಾದನೆ,Power generation,ಮಾಲಕರೆಡ್ಡಿ ಎ.ಬಿ.,Mālaka Reddy AB
1801,30/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಕೊರತೆ,Power shortage,ಮಾಲಕರೆಡ್ಡಿ ಎ.ಬಿ.,Mālaka Reddy AB
1802,30/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಹಾಲು ಡೈರಿ ಸ್ಥಾಪನೆ,Establishment of milk dairy,ಸುಧಾಕರ್ ಕೆ.,Sudhakar K 
1803,30/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಕಂಪನಿಗಳಿಂದ ಅದಿರು ಖರೀದಿ,Buy ore from companies,ಸುಧಾಕರ್ ಕೆ.,Sudhakar K 
1804,30/07/2013,ಗೃಹ,Home,ರೆಸ್ಟೋರೆಂಟ್ ಗಳ ಸಮಯದ ಬಗ್ಗೆ ಏಕರೂಪ ಕಾನೂನು,Uniform law about restaurants time,ಸುಧಾಕರ್ ಕೆ.,Sudhakar K 
1805,30/07/2013,ಗೃಹ,Home,ಚಿಕ್ಕಬಳ್ಳಾಪುರದಲ್ಲಿ ಪೋಲಿಸ್ ಅಧೀಕ್ಷಕರ ಕಛೇರಿ,Police Superintendent's office in Chikkaballapur,ಸುಧಾಕರ್ ಕೆ.,Sudhakar K 
1806,30/07/2013,ಇಂದನ,From now on,ವಿದ್ಯುತ್ ಪರಿವರ್ತಕಗಳ ಸರಬರಾಜು,Supply of electrical transformers,ಉಮೇಶ್ ಜಿ. ಜಾಧವ್,Umesh G  Jadhav
1807,30/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಖಾಲಿ ಇರುವ ಹುದ್ದೆಗಳ ಭರ್ತಿ,Fill in vacant posts,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
1808,30/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಕೈಗಾರಿಕೆಗಳ ಸ್ಥಾಪನೆ,Establishment of industries,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
1809,30/07/2013,ಆರ್ಥಿಕ,Economy,ಆರ್ಥಿಕ ಇಲಾಖೆಗೆ ಬಂದಿರುವ ಅನುದಾನ,Grants to the Finance Department,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
1810,30/07/2013,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರ,Law and Parliamentary Affairs,ಸಚಿವ ಸಂಪುಟದ ಸಭೆಗಳು,Cabinet meetings,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
1811,30/07/2013,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರ,Law and Parliamentary Affairs,ಶಾಸಕರ ಆಪ್ತ ಸಹಾಯಕರ ನೇಮಕ,Appointed MLA's close associates,ಗೋಪಾಲ ಪೂಜಾರಿ ಕೆ.,Gopal Poojary K 
1812,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ನರ್ಮ್ ಯೋಜನೆಯಡಿ ಖರ್ಚು ಮಾಡಿದ ಹಣ,Money spent under the NREM scheme,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
1813,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಬೆಂಗಳೂರು ನಗರದಲ್ಲಿ ಕೊಳವೆ ಬಾವಿ ನೋಂದಣಿ,Bungalow Well Registration in Bangalore,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
1814,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಬಡವರಿಗೆ ನಿರ್ಮಿಸುವ ಸಮುಚ್ಚಯಗಳ ಬೆಲೆ ಏರಿಕೆ,The prices of the build-ups for the poor are rising,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
1815,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಮಳೆಯಿಂದಾಗಿ ಮನೆಗಳಿಗೆ ನೀರು ನುಗ್ಗುತ್ತಿರುವುದು,Water is flooding with rain,ಗೋಪಾಲಯ್ಯ ಕೆ.,Gopalaiah K 
1816,30/07/2013,ಇಂಧನ,Fuel,ಹೊರ ರಾಜ್ಯದಲ್ಲಿ ಸ್ಥಾಪಿಸಿರುವ ವಿದ್ಯುತ್ ಘಟಕ,Electricity unit installed in outer state,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
1817,30/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಅಮೃತ ಯೋಜನೆ ಅನುಷ್ಠಾನ,Implementation of Amrita Scheme,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
1818,30/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಪಶುವೈದ್ಯ ವಿವಿಯಲ್ಲಿ ಆಕ್ರಮ,Occupy veterinary scientist,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
1819,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಮಹಾನಗರ ಕಾರ್ಯಪಡೆಗೆ ಇರುವ ಅಧಿಕಾರ,Authority of the Metropolitan Mission,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
1820,30/07/2013,ಇಂಧನ,Fuel,ಪ್ರತಿದಿನ ಖರೀದಿ ಮಾಡುತ್ತಿರುವ ವಿದ್ಯುತ್,Electricity purchasing every day,ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಲ್ಲಿ,Guruparappa Nagamarapally
1821,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಬೆಂಗಳೂರು ಮೆಟ್ರೋ ರೈಲು ಮಾರ್ಗ ಕಾಮಗಾರಿಗಳು,Bangalore Metro Rail Works,ಹ್ಯಾರೀಸ್ ಎನ್. ಎ.,Harris N A
1822,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕೆರೆಗಳ ಮತ್ತು ಜಲಸಂಪನ್ಮೂಲಗಳ ಸಂರಕ್ಷಣೆ,Conservation of lakes and water resources,ಹ್ಯಾರೀಸ್ ಎನ್. ಎ.,Harris N A
1823,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಘನ ತ್ಯಾಜ್ಯ ನಿರ್ವಹಣಾ ಮೂಲಸೌಲಭ್ಯ ಯೋಜನೆಗಲ ಅನುಷ್ಠಾನ,Implementation of solid waste management infrastructure projects,ಹ್ಯಾರೀಸ್ ಎನ್. ಎ.,Harris N A
1824,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಸಂಚಾಯ ದಟ್ಟಣೆಯ ವ್ಯವಸ್ಥಿತ ನಿರ್ವಹಣೆ,Systematic maintenance of traffic congestion,ಹ್ಯಾರೀಸ್ ಎನ್. ಎ.,Harris N A
1825,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ನಗರ ಮತ್ತು ಪಟ್ಟಣಗಳ ಅಭಿವೃದ್ದಿ,Development of city and towns,ಹ್ಯಾರೀಸ್ ಎನ್. ಎ.,Harris N A
1826,30/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಭೂಸ್ವಾಧೀನಪಡಿಸಿಕೊಂಡಿರುವುದು,Land acquisition,ಜಗದೀಶ್ ಕುಮಾರ್ ಆರ್.,Jagdish Kumar R 
1827,30/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ಭೂಮಿಯನ್ನು ಒತ್ತುವರಿ ಮಾಡಿಕೊಂಡಿರುವುದು,Land Acquisition,ಜಗದೀಶ್ ಶೆಟ್ಟರ್,Jagadish Shettar
